id,company_id/id,codigo,parent_id/id,name,abreviatura
base_idu.hr_department_142,base.main_company,241,base_idu.hr_department_2,LABORATORIOS DE BIOLOGIA,LABI
base_idu.hr_department_143,base.main_company,242,base_idu.hr_department_2,LABORATORIOS DE FISICA,LAFI
base_idu.hr_department_144,base.main_company,243,base_idu.hr_department_2,LABORATORIO INGENIERIAS,LAIN
base_idu.hr_department_145,base.main_company,244,base_idu.hr_department_2,LABORATORIO DE TOPOGRAFIA,LATO
base_idu.hr_department_146,base.main_company,245,base_idu.hr_department_2,SECCION DE PUBLICACIONES,SEPU
base_idu.hr_department_147,base.main_company,246,base_idu.hr_department_2,RED DE DATOS UDNET,UDNET
base_idu.hr_department_148,base.main_company,247,base_idu.hr_department_2,SECCION BIBLIOTECA,SEBI
base_idu.hr_department_149,base.main_company,248,base_idu.hr_department_2,LABORATORIO DE QUIMICA,LAQU
base_idu.hr_department_150,base.main_company,249,base_idu.hr_department_2,OFICINA SE ADMISIONES,OFAD
base_idu.hr_department_151,base.main_company,250,base_idu.hr_department_3,OFICINA ASESORA JURIDICA,OAJU
base_idu.hr_department_152,base.main_company,251,base_idu.hr_department_3,"OFICINA DE QUEJAS, RECLAMOS Y ATENCION AL CIUDADANO",OQRAC
base_idu.hr_department_153,base.main_company,252,base_idu.hr_department_3,"SECCION DE ACTAS, ARCHIVO Y MICROFILMACIO",SAAM
base_idu.hr_department_154,base.main_company,253,base_idu.hr_department_3,SINDICATO DE TRABAJADORES UNIVERSIDAD DISTRITAL,STUD
base_idu.hr_department_155,base.main_company,254,base_idu.hr_department_3,ASOCIACION DE EMPLEADOS PUBLICOS ADMINISTRATIVOS - ASEPAD UD,ASEPAD
base_idu.hr_department_156,base.main_company,255,base_idu.hr_department_3,ASOCIACION SINDICAL DE PROFESORES UNIVERSITARIOS (ASPU-UD),ASPU
base_idu.hr_department_157,base.main_company,256,base_idu.hr_department_6,DIVISION DE RECURSOS HUMANOS,DRHU
base_idu.hr_department_158,base.main_company,257,base_idu.hr_department_157,SECCION DE NOVEDADES,SENO
base_idu.hr_department_159,base.main_company,258,base_idu.hr_department_6,DIVISION DE RECURSOS FINANCIEROS,DRFI
base_idu.hr_department_160,base.main_company,259,base_idu.hr_department_159,SECCION DE CONTABILIDAD,SECO
base_idu.hr_department_161,base.main_company,260,base_idu.hr_department_159,SECCION DE PRESUPUESTO,SEPR
base_idu.hr_department_162,base.main_company,261,base_idu.hr_department_159,TESORERIA GENERAL,TEGE
base_idu.hr_department_163,base.main_company,262,base_idu.hr_department_6,DIVISION DE RECURSOS FISICOS,DIRF
base_idu.hr_department_164,base.main_company,263,base_idu.hr_department_163,ALMACEN GENERAL E INVENTARIOS,AGIN
base_idu.hr_department_165,base.main_company,264,base_idu.hr_department_163,SECCION DE COMPRAS,SECO
base_idu.hr_department_166,base.main_company,265,,IDEXUD,IDEXUD
base_idu.hr_department_167,base.main_company,266,,CONSEJO ACADEMICO,COAC
base_idu.hr_department_168,base.main_company,267,,CONSEJO SUPERIOR,COSU
